Zaman (s),Toplam Kuyruk Uzunlugu,Toplam Islenen Request,S1_Kuyruk,S1_CPU,S2_Kuyruk,S2_CPU,S3_Kuyruk,S3_CPU,S4_Kuyruk,S4_CPU,Ortalama_CPU_Kullanimi,Ortalama_Bekleme_Suresi
0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
1.0000000000000007,0,5,0,68.16241813299376,0,78.71511470388158,0,59.9377335727553,0,62.54213012995161,67.33934913489557,0.0
2.0000000000000013,100,37,24,84.2667757128462,27,84.32943564715018,25,83.01968231916906,24,81.59478542312537,83.3026697755727,0.0
3.00999999999998,156,111,38,84.65221435362757,39,84.58057286578601,39,84.15939799109111,40,84.01653889748722,84.35218102699798,0.1305405405405393
4.009999999999959,183,233,46,83.53979009171785,45,82.5054011443293,45,83.6453670529823,47,83.14567797416095,83.20905906579759,0.673862660944195
5.009999999999938,227,332,52,83.54412466043496,57,84.83544321174641,59,84.89740798287298,59,83.24398948106979,84.13024133403104,0.9214156626505855
6.009999999999916,277,418,65,83.73716182797553,71,82.80618007294682,72,83.20778328988548,69,84.83671108368037,83.64695906862205,1.0740191387559601
7.009999999999895,295,535,71,84.86197807009775,75,81.32636499627587,74,82.61091258004397,75,83.06661965102985,82.96646882436187,1.287420560747638
8.009999999999874,319,639,73,82.23162116440675,83,83.8560714228092,82,84.5415977374321,81,80.61232380674474,82.8104035328482,1.4500469483567782
9.009999999999852,355,743,83,84.40687476097693,90,83.30225346322692,91,83.36136667165115,91,82.14102445030744,83.30287983654061,1.570188425302794
10.009999999999831,406,831,100,84.12470811587839,103,84.85320486931434,102,82.44789937901703,101,84.44560421048746,83.9678541436743,1.7133935018050188
11.00999999999981,444,934,109,84.32649632206241,113,83.77598970170143,111,83.4613430064231,111,83.94379031744039,83.87690483690683,1.8464668094218035
12.009999999999788,494,1025,122,84.82955435488485,123,84.69613968417916,126,81.24211546334949,123,81.72591986459685,83.12343234175259,1.9268780487804478
13.009999999999767,520,1124,131,84.94635063847879,129,83.55721919393206,132,83.62338137237373,128,83.4330466897637,83.88999947363706,2.0370640569394594
14.009999999999746,536,1210,135,84.63185750663735,133,84.43490066729228,135,84.35974358713096,133,83.78210906035171,84.30215270535308,2.1328760330578063
15.009999999999724,566,1312,140,84.98492692444417,139,84.76960929540789,143,84.03778359086579,144,84.54228050619716,84.58365007922875,2.2813490853658056
16.009999999999703,614,1416,150,81.1173705507262,155,82.73673095603527,152,83.71939047407827,157,84.33878901501636,82.97807024896403,2.4560946327683095
17.00999999999986,647,1509,161,83.62483177067816,163,84.30757836266288,160,83.55910662466424,163,84.5276018234331,84.00477964535959,2.6162690523524996
18.000000000000014,716,1594,179,83.08079984759802,180,84.6097079972839,177,83.13630070181019,180,84.78809220586957,83.90372518814041,2.729015056461686
19.00000000000017,755,1691,187,83.17175097110811,190,84.6389280591037,185,84.20604386200868,193,84.9810471012604,84.24944249837023,2.8425783560023308
20.000000000000327,788,1784,199,84.31965452504217,197,82.39215067477083,197,80.80931400384335,195,84.46392680843454,82.99626150302272,2.9210594170403374
21.000000000000483,826,1875,203,81.00581306762982,205,84.78983143939325,209,84.31770342434068,209,83.59109490294183,83.4261107085764,3.080015999999999
22.00000000000064,855,1970,212,83.49573148435407,216,83.40224991714602,214,83.53597481544608,213,73.13734783699397,80.89282601348503,3.242862944162461
23.000000000000796,878,2056,215,82.13157703408302,222,83.60192825694605,219,84.45529969149435,222,84.69209205614294,83.7202242596666,3.3459727626459608
24.000000000000952,909,2147,226,83.88786572524126,232,83.59382745166174,223,84.00585111946782,228,84.66193424597188,84.03736963558568,3.4502608290638817
25.00000000000111,926,2244,231,84.79459953169977,231,84.30922493710041,232,84.00220866826369,232,84.03973642727848,84.28644239108559,3.5352718360072273
26.000000000001265,965,2352,240,84.48496475904567,240,83.78854479143662,240,84.96271046506371,245,81.11583631394262,83.58801408237215,3.653107993197409
27.00000000000142,1012,2440,251,82.97432052201938,251,78.90185368918958,257,84.62117453242884,253,83.53293378934455,82.50757063324559,3.7684303278690146
28.000000000001577,1053,2513,260,82.59419529852562,262,84.77530179448313,267,82.23486907967197,264,84.79073325295919,83.59877485640997,3.8628849980105344
29.000000000001734,1071,2626,265,81.48755763339557,266,84.09231256667333,271,83.91983059440388,269,82.60546889984064,83.02629242357835,4.046188118812114
30.00000000000189,1129,2717,282,82.54905259054819,281,84.6587056413578,285,83.51909353119743,281,83.76405410855526,83.62272646791467,4.167751196172515
