Zaman (s),Toplam Kuyruk Uzunlugu,Toplam Islenen Request,S1_Kuyruk,S1_CPU,S2_Kuyruk,S2_CPU,S3_Kuyruk,S3_CPU,S4_Kuyruk,S4_CPU,Ortalama_CPU_Kullanimi,Ortalama_Bekleme_Suresi
0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
1.0000000000000007,0,5,0,84.09184669617629,0,84.80047869156749,0,84.81145928302028,0,45.40043825693109,74.77605573192379,0.0
2.0000000000000013,100,39,62,83.84051659940097,28,84.62684107547827,10,83.98839284594584,0,84.76386431752017,84.30490370958631,0.0
3.00999999999998,161,131,94,82.9942951191216,44,82.16758334955712,23,84.79648440789977,0,79.14617499792809,82.27613446862665,0.22229007633587541
4.009999999999959,197,217,114,84.88412056408075,51,83.18339583337296,30,84.0687649951095,2,83.35586214725784,83.87303588495526,0.3923041474654321
5.009999999999938,251,296,137,84.9132999775816,70,84.68512045240956,38,83.50746100049366,6,82.94323477092273,84.01227905035189,0.6526351351351242
6.009999999999916,291,388,158,81.75629428592946,81,83.35012275729497,39,84.98261255819651,13,82.82969526108656,83.22968121562687,0.893247422680396
7.009999999999895,330,483,175,84.27319889027281,92,84.16660193366954,52,84.97941121066438,11,84.2057716684813,84.40624592577201,1.0499999999999798
8.009999999999874,370,589,193,82.72581783269437,102,84.52818642069907,60,82.7624605834708,15,84.1919145939463,83.55209485770263,1.272767402376885
9.009999999999852,420,669,215,84.90004564956823,113,83.37120110431128,70,84.4536709962204,22,82.26929157675589,83.74855233171395,1.4446337817637975
10.009999999999831,452,762,228,83.0895157246256,128,83.6722639450474,73,83.76826931638618,23,84.98438639546832,83.87860884538188,1.569186351706005
11.00999999999981,491,858,249,84.09967446012207,134,84.8969684957293,84,84.8324275460669,24,84.30408134058314,84.53328796062536,1.7206643356643005
12.009999999999788,502,964,254,82.88018204655538,138,84.91349069027821,86,80.96409212214081,24,83.28322200441866,83.01024671584827,1.8843672199169732
13.009999999999767,522,1055,258,83.27214948909582,144,80.63084482759284,89,83.75382857628513,31,83.31382329164016,82.74266154615349,2.0510616113743647
14.009999999999746,565,1159,278,81.9760931136209,157,79.1602919416431,94,84.49375310078614,36,84.17867241987835,82.45220264398212,2.2281449525452515
15.009999999999724,605,1251,299,82.31503419946122,168,84.77209873311472,102,79.82524507810732,36,84.6787767520496,82.89778869068321,2.3203037569943565
16.009999999999703,649,1343,317,82.06304012446958,175,83.16181380071775,115,81.68326631775416,42,82.85217417076412,82.4400736034264,2.4137676842888554
17.00999999999986,720,1434,348,81.28502009800387,196,83.06090116739398,127,84.63008370398056,49,84.43179530486456,83.35195006856074,2.4964435146443025
18.000000000000014,764,1530,370,83.43720972070892,211,81.89924058702131,132,82.96560858294188,51,83.72497355306042,83.00675811093313,2.619372549019566
19.00000000000017,829,1614,397,84.41301182825549,228,84.99261384359494,147,84.29000293806727,57,84.61857635460235,84.57855124113001,2.762837670384108
20.000000000000327,866,1710,418,84.77074703267654,237,83.13727532087363,149,84.99423343074984,62,84.99987342445593,84.47553230218898,2.879836257309928
21.000000000000483,897,1805,432,84.87298581040113,249,84.79770280153772,152,84.1845215358198,64,82.1926737581995,84.01197097648954,2.947030470914133
22.00000000000064,933,1898,451,84.4883050548498,259,83.63527093654372,157,84.2826203694931,66,83.7678455474265,84.04351047707829,3.017534246575366
23.000000000000796,941,2003,452,84.46858125328832,260,84.89576704667547,160,83.99482143929693,69,83.2661395146427,84.15632731347586,3.200409385921171
24.000000000000952,968,2102,465,84.60825012073094,267,83.5831702606097,169,83.2941911426314,67,81.6169057980759,83.27562933051199,3.3277402473835207
25.00000000000111,1030,2186,490,84.31820350769857,285,84.46832859985314,178,84.79407345114839,77,82.86099194996416,84.11039937716606,3.4384034766698153
26.000000000001265,1073,2281,510,83.15218875340142,293,81.62919589323062,188,84.48060012655256,82,84.77746555968669,83.50986258321782,3.5278562034196748
27.00000000000142,1107,2380,522,84.7676831695346,306,84.75243498407907,193,82.57740255357136,86,84.59763693954551,84.17378941168263,3.6482310924371255
28.000000000001577,1138,2481,546,84.34733499929169,308,84.83588121807227,199,79.06917643732132,85,84.3723104658335,83.1561757801297,3.760713422007434
29.000000000001734,1156,2595,555,83.54815608595747,317,83.41697736079836,199,84.23362654545363,85,84.51136726669559,83.92753181472627,3.9018304431601347
30.00000000000189,1209,2695,574,77.73047998294453,331,83.63789816139906,213,84.52102957268366,91,78.44637750460498,81.08394630540806,3.982864564007656
31.000000000002046,1253,2791,594,84.14206052148863,343,83.560173874152,220,84.41008809250414,96,83.30679891433334,83.85478035061954,4.131246864923232
32.0000000000022,1291,2890,610,83.9249561039882,354,84.00055878792583,228,84.45985339595468,99,84.49940471215227,84.22119325000524,4.2314602076127485
