Zaman (s),Toplam Kuyruk Uzunlugu,Toplam Islenen Request,S1_Kuyruk,S1_CPU,S2_Kuyruk,S2_CPU,S3_Kuyruk,S3_CPU,S4_Kuyruk,S4_CPU,Ortalama_CPU_Kullanimi,Ortalama_Bekleme_Suresi
0.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0
1.0000000000000007,0,3,0,84.81686049928874,0,84.32501744575104,0,84.74153944486879,0,33.068363599864846,71.73794524744335,0.0
2.0000000000000013,77,44,37,83.34379176890748,28,84.04286187902619,8,84.84107479962188,4,84.46674043576921,84.17361722083119,0.0
3.00999999999998,120,132,72,84.99279170953447,45,84.10904725380992,3,83.43547616969562,0,76.91036360944248,82.36191968562062,0.32393939393939075
4.009999999999959,171,225,107,82.38272954655675,57,84.25706828731457,5,82.95282835574568,2,82.81940879917741,83.1030087471986,0.5176444444444369
5.009999999999938,206,329,137,84.03633508692917,69,84.85698505373281,0,83.28449930246582,0,84.687316185453,84.2162839071452,0.7747416413373726
6.009999999999916,267,412,172,84.92133864063926,82,84.1667009948624,11,84.24987429476877,2,83.52230360446073,84.2150543836828,0.9078640776698861
7.009999999999895,310,509,202,84.86091760841107,91,83.21830437958053,15,84.51613676023159,2,82.42350966898654,83.75471710430243,1.0317681728879957
8.009999999999874,353,606,238,84.71423118697084,100,84.90598533033905,13,84.94256396315902,2,80.69769085223112,83.81511783317501,1.1236138613861166
9.009999999999852,380,703,255,83.26508165911505,106,82.9065560344379,18,83.1586899489641,1,83.0748756009684,83.10130081087136,1.252688477951611
10.009999999999831,415,786,284,83.92084684769542,120,84.91197152517061,11,83.73770792051207,0,84.32566603778679,84.22404808279123,1.3155852417302532
11.00999999999981,454,880,317,84.76612591910904,126,82.86046939280764,8,81.50491414540295,3,84.36625913036147,83.37444214692027,1.4009772727272443
12.009999999999788,496,977,343,83.88743809417845,142,83.34642034761569,11,83.07564620349652,0,82.51945336869129,83.20723950349549,1.4605322415557531
13.009999999999767,532,1074,377,83.35740722574023,137,79.15467219571894,18,83.36188836041053,0,81.78575826789263,81.91493151244059,1.5533333333333008
14.009999999999746,567,1163,401,83.39519519621564,145,80.81318075700926,20,81.8354895564843,1,84.68239057517333,82.68156402122064,1.638366294067034
15.009999999999724,587,1251,423,84.85925564918111,152,77.10942793200773,12,83.8121850984599,0,83.5506840409789,82.33288818015691,1.7270023980814988
